ExamDescription,GroupName
CT-CSC,CT Spine Cervical with Contrast
CT-CSTI,CT Spine 2 or More Areas w/o Contrast
CT-CSTIC,CT Spine 2 or More Areas with contrast
CT-CSTR,CT Spine Cervical w/o Contrast
CT-CTS,CT Spine 2 or More Areas w/o Contrast
CT-CTSC,CT Spine 2 or More Areas with contrast
CT-CXRABD,CT Chest Abdomen w/o Contrast
CT-CXRABDC,CT Chest Abdomen with Contrast
CT-CAP,CT Chest Abdomen Pelvis w/o Contrast
CT-CAPD,CT Chest Abdomen Pelvis wo/w Contrast
CT-CAPC,CT Chest Abdomen Pelvis with Contrast
CT-CXRABDD,CT Chest Abdomen wo/w Contrast
CT-CXR,CT Chest w/o Contrast
CT-CXRD,CT Chest wo/w Contrast
CT-CXRC,CT Chest with Contrast
CT-CXRHR,CT Chest w/o Contrast
CT-CXRHRC,CT Chest with Contrast
CT-CXRHRM,CT Chest wo/w Contrast
CT-CXRLD,CT Chest w/o Contrast
CT-CXRPEAC,CT Chest Abdomen with Contrast
CT-CXRPEAPC,CT Chest Abdomen Pelvis with Contrast
CT-CXRPEC,CT Chest with Contrast
CT-CXRPEPLC,CT Angio Chest Abdomen Pelvis Leg Runoff with Cont
CT-CXRPC,CT Chest with Contrast
CT-CXRTI,CT Chest w/o Contrast
CT-DRAINAC,CT Drainage Abdomen
CT-DRAINCC,CT Drainage Chest
CT-EXTLB,CT Lower Extremity
CT-EXTLBD,CT Lower Extremity
CT-EXTLBC,CT Lower Extremity
CT-EXTLL,CT Lower Extremity
CT-EXTLLD,CT Lower Extremity
CT-EXTLLC,CT Lower Extremity
CT-EXTLR,CT Lower Extremity
CT-EXTLRD,CT Lower Extremity
CT-EXTLRC,CT Lower Extremity
CT-EXTUB,CT Upper Extremity
CT-EXTUBD,CT Upper Extremity
CT-EXTUBC,CT Upper Extremity
CT-EXTUL,CT Upper Extremity
CT-EXTULD,CT Upper Extremity
CT-EXTULC,CT Upper Extremity
CT-EXTUR,CT Upper Extremity
CT-EXTURD,CT Upper Extremity
CT-EXTURC,CT Upper Extremity
CT-FACCS,CT Block Nerve/Facet Cervical Single
CT-FACCSM,CT Block Nerve/Facet Cervical Multi
CT-FACLS,CT Block Nerve/Facet Lumbar Single
CT-FACLSM,CT Block Nerve/Facet Lumbar Multi
CT-FACTS,CT Block Nerve/Facet Thoracic Single
CT-FACB,CT Facial Bones w/o Contrast
CT-FACBD,CT Facial Bones wo/w Contrast
CT-FACBC,CT Facial Bones with Contrast
CT-HEA,CT Head w/o Contrast
CT-HEAD,CT Head wo/w Contrast
CT-HEANCAPC,CT Head Neck Chest Abdo Pelvis wo/w Con
CT-HEACS,CT Head Neck w/o Contrast
CT-HEACSC,CT Head Neck with Contrast
CT-HEACSCAP,CT Head Neck Chest Abdo Pelvis w/o Con
CT-HEACSCXR,CT Head Neck w/o Contrast
CT-HEAC,CT Head with Contrast
CT-HEANCAPCC,CT Head Neck Chest Abdo Pelvis with Con
CT-HEACSCAPC,CT Head Neck Chest Abdo Pelvis wo/w Con
CT-HEAFACB,CT Head 2 Areas w/o Contrast
CT-HEAFACCS,CT Head Neck w/o Contrast
CT-HEAFACBC,CT Head 2 Areas with Contrast
CT-HEAIA,CT Head 2 Areas w/o Contrast
CT-HEAIAC,CT Head 2 Areas with Contrast
CT-HEANNAV,CT Head w/o Contrast
CT-HEANNAVC,CT Head with Contrast
CT-HEAOR,CT Head 2 Areas w/o Contrast
CT-HEAORC,CT Head 2 Areas with Contrast
CT-HEAPI,CT Head 2 Areas w/o Contrast
CT-HEAPIC,CT Head 2 Areas with Contrast
CT-HEASTN,CT Head Neck w/o Contrast
CT-HEASTNC,CT Head Neck with Contrast
CT-HEASIM,CT Head w/o Contrast
CT-HEASI,CT Head 2 Areas w/o Contrast
CT-HEASIC,CT Head 2 Areas with Contrast
CT-HEAST,CT Head w/o Contrast
CT-HEASTC,CT Head with Contrast
CT-HEATB,CT Head 2 Areas w/o Contrast
CT-HEATBC,CT Head 2 Areas with Contrast
CT-HEATPA,CT Head w/o Contrast
CT-HIPL,CT Hip w/o Contrast LT
CT-HIPLD,CT Hip wo/w Contrast LT
CT-HIPLC,CT Hip with Contrast LT
CT-HIPR,CT Hip w/o Contrast RT
CT-HIPRD,CT Hip wo/w Contrast RT
CT-HIPRC,CT Hip with Contrast RT
CT-IAC,CT Internal Auditory Canal w/o Contrast
CT-IACC,CT Internal Auditory Canal with Contrast
CT-INC,CT Partially Completed Exam
CT-IE,CT Partially Completed Exam
CT-INJTX,CT Joint Block
CT-JOI,CT Joint Block
CT-JOIM,CT Joint Block
CT-LS,CT Spine Lumbar w/o Contrast
CT-LSD,CT Spine Lumbar wo/w Contrast
CT-LSC,CT Spine Lumbar with Contrast
CT-LSP,CT Spine Lumbar w/o Contrast
CT-LSPC,CT Spine Lumbar with Contrast
CT-LSSI,CT Spine Lumbar w/o Contrast
CT-LEGLEXTB,CT Leg Lengths
CT-LEGL,CT Leg Lengths
CT-LOCAL,CT Spine Lumbar w/o Contrast
CT-ORB,CT Orbits w/o Contrast
CT-ORBD,CT Orbits wo/w Contrast
CT-ORBC,CT Orbits with Contrast
CT-PEL,CT Pelvis w/o Contrast
CT-PELD,CT Pelvis wo/w Contrast
CT-PELC,CT Pelvis with Contrast
CT-PELHL,CT Pelvis w/o Contrast
CT-PELHLC,CT Pelvis with Contrast
CT-PELHR,CT Pelvis w/o Contrast
CT-PELHRC,CT Pelvis with Contrast
CT-PELREC,CT Pelvis w/o Contrast
CT-PELRECD,CT Pelvis wo/w Contrast
CT-PELRECC,CT Pelvis with Contrast
CT-PIT,CT Sella Turcica w/o Contrast
CT-PITD,CT Sella Turcica wo/w Contrast
CT-PITC,CT Sella Turcica with Contrast
CT-PA,CT Post Arthrogram
CT-PD,CT Post Discogram
CT-PM,CT Post Myelogram
CT-RFA,CT Ablation RFA
CT-REN,CT Abdomen w/o Contrast
CT-REND,CT Abdomen wo/w Contrast
CT-RENC,CT Abdomen with Contrast
CT-RENCI,CT Abdomen wo/w Contrast
CT-STN,CT Neck w/o Contrast
CT-STND,CT Neck wo/w Contrast
CT-STNC,CT Neck with Contrast
CT-STNCAC,CT Neck Chest Abdomen with Contrast
CT-STNCAP,CT Neck Chest Abdomen Pelvis w/o Con
CT-STNCAPC,CT Neck Chest Abdomen Pelvis with Con
CT-STNCA,CT Neck Chest Abdomen w/o Contrast
CT-STNCXR,CT Neck Chest w/o Contrast
CT-STNCXRC,CT Neck Chest with Contrast
CT-SAL,CT Salivary Glands w/o Contrast
CT-SCJ,CT Sternoclavicular Joints w/o Contrast
CT-SCJC,CT Sternoclavicular Joints with Contrast
CT-SIJ,CT Sacroiliac Joints w/o Contrast
CT-SINO,CT Sinogram
CT-SIN,CT Paranasal Sinuses w/o Contrast
CT-SIND,CT Paranasal Sinuses wo/w Contrast
CT-SINC,CT Paranasal Sinuses with Contrast
CT-SINSP,CT Paranasal Sinuses w/o Contrast
CT-STE,CT Sternum w/o Contrast
CT-STEC,CT Sternum with Contrast
CT-TLS,CT Spine 2 or More Areas w/o Contrast
CT-TLSC,CT Spine 2 or More Areas with contrast
CT-TS,CT Spine Thoracic w/o Contrast
CT-TSD,CT Spine Thoracic wo/w Contrast
CT-TSC,CT Spine Thoracic with Contrast
CT-TEM,CT Petrous or Temporal Bones w/o Cont
CT-TEMD,CT Petrous or Temporal Bones wo/w Cont
CT-TEMC,CT Petrous or Temporal Bones with Cont
CT-THORDID,CT Angio Chest wo/w Contrast
CT-THORDIC,CT Angio Chest with Contrast
CT-TI,CT Chest w/o Contrast
CT-TID,CT Chest wo/w Contrast
CT-TIC,CT Chest with Contrast
CT-TMJ,CT Temporomandibular Joints w/o Cont
CTC-ABDD,CT Abdomen wo/w Contrast
CTC-ABD,CT Abdomen w/o Contrast
CTC-ABDC,CT Abdomen with Contrast
CTC-ABDLHC,CT Abdomen with Contrast
CTC-ABDLMC,CT Abdomen with Contrast
CTC-ABDPD,CT Abdomen Pelvis wo/w Contrast
CTC-ABDP,CT Abdomen Pelvis w/o Contrast
CTC-ABDPC,CT Abdomen Pelvis with Contrast
CTC-ABDPCOL,CT Colonography
CTC-ANC,CT Angio
CTC-BXADR,CT Biopsy Abdomen
CTC-BXBON,CT Biopsy Bone
CTC-BXLIV,CT Biopsy Liver
CTC-BXLUN,CT Biopsy Chest
CTC-BXLYM,CT Biopsy Lymph Node
CTC-BXPAN,CT Biopsy Abdomen
CTC-BXPEL,CT Biopsy Pelvis
CTC-BXREN,CT Biopsy Renal
CTC-CS,CT Spine Cervical w/o Contrast
CTC-CSC,CT Spine Cervical with Contrast
CTC-CXRABD,CT Chest Abdomen w/o Contrast
CTC-CXRABDC,CT Chest Abdomen with Contrast
CTC-CAP,CT Chest Abdomen Pelvis w/o Contrast
CTC-CAPC,CT Chest Abdomen Pelvis with Contrast
CTC-CXR,CT Chest w/o Contrast
CTC-CXRC,CT Chest with Contrast
CTC-CXRHR,CT Chest w/o Contrast
CTC-CXRHRC,CT Chest with Contrast
CTC-CXRHRM,CT Chest wo/w Contrast
CTC-CXRPEAC,CT Chest Abdomen with Contrast
CTC-CXRPEAPC,CT Chest Abdomen Pelvis with Contrast
CTC-CXRPEC,CT Chest with Contrast
CTC-CXRTI,CT Chest with Contrast
CTC-EXTLL,CT Lower Extremity
CTC-EXTLLC,CT Lower Extremity
CTC-EXTLR,CT Lower Extremity
CTC-EXTLRC,CT Lower Extremity
CTC-EXTUL,CT Upper Extremity
CTC-EXTULC,CT Upper Extremity
CTC-EXTUR,CT Upper Extremity
CTC-EXTURC,CT Upper Extremity
CTC-FACB,CT Facial Bones w/o Contrast
CTC-FACBC,CT Facial Bones with Contrast
CTC-HEAD,CT Head wo/w Contrast
CTC-HEA,CT Head w/o Contrast
CTC-HEAC,CT Head with Contrast
CTC-HIPL,CT Hip w/o Contrast LT
CTC-HIPLC,CT Hip with Contrast LT
CTC-HIPR,CT Hip w/o Contrast RT
CTC-HIPRC,CT Hip with Contrast RT
CTC-IE,CT Partially Completed Exam
CTC-LS,CT Spine Lumbar w/o Contrast
CTC-LSC,CT Spine Lumbar with Contrast
CTC-ORB,CT Orbits w/o Contrast
CTC-ORBC,CT Orbits with Contrast
CTC-PEL,CT Pelvis w/o Contrast
CTC-PELC,CT Pelvis with Contrast
CTC-PITD,CT Sella Turcica wo/w Contrast
CTC-PITC,CT Sella Turcica with Contrast
CTC-STN,CT Neck w/o Contrast
CTC-STNC,CT Neck with Contrast
CTC-STNCAC,CT Neck Chest Abdomen with Contrast
CTC-STNCAP,CT Neck Chest Abdomen Pelvis w/o Con
CTC-STNCAPC,CT Neck Chest Abdomen Pelvis with Con
CTC-STNCA,CT Neck Chest Abdomen w/o Contrast
CTC-STNCXR,CT Neck Chest w/o Contrast
CTC-STNCXRC,CT Neck Chest with Contrast
CTC-SIN,CT Paranasal Sinuses w/o Contrast
CTC-SINC,CT Paranasal Sinuses with Contrast
CTC-TS,CT Spine Thoracic w/o Contrast
CTC-TSC,CT Spine Thoracic with Contrast
CTCS-ABDP,CT Abdomen Pelvis with Contrast
CTCS-BXS,CT Biopsy
CTCS-BXSRN,CT Biopsy
CTCS-CAP,CT Chest Abdomen Pelvis with Contrast
CTCS-CXRABD,CT Chest Abdomen with Contrast
CTCS-CTCXR,CT Chest with Contrast
CTCS-HEA,CT Head with Contrast
CTCS-STNC,CT Neck with Contrast
CTS-CAP,CT Chest Abdomen Pelvis w/o Contrast
CTS-CTCXR,CT Chest with Contrast
IR-ANABDL,IR Angio Aorta and Femoral
IR-ANABDA,IR Angio Aorta Abdominal
IR-ANABDAB,IR Angio Abdominal Selective
IR-ANABD,IR Angio Abdominal Selective
IR-ANALD,IR Sampling Renal Renin
IR-ANALDA,IR Sampling Renal Renin
IR-ANARCAB,IR Angio Carotid BILAT
IR-ANARCA,IR Angio Neck
IR-ANARCAVEB,IR Angio Carotid BILAT
IR-ANARCAVE,IR Angio Aortic Arch and Carotid and Vertibral UNI
IR-ANARCH,IR Angio Aortic Arch
IR-ANBRO,IR Angio Aorta Thoracic Selective
IR-ANBROAB,IR Angio Aorta Thoracic Selective
IR-ANCARVEB,IR Angio Carotid BILAT
IR-ANCARVEU,IR Angio Carotid and Vertebral UNI
IR-ANCARB,IR Angio Carotid BILAT
IR-ANCAR,IR Angio Carotid UNI
IR-ANCEL,IR Block Celiac Plexus
IR-ANFEMB,IR Angio Femoral BILAT
IR-ANFEM,IR Angio Femoral UNI
IR-ANHEP,IR Angio Abdomen
IR-ANIMES,IR Angio Abdomen
IR-ANIVC,IR Venogram IVC
IR-ANIVCF,IR Venous IVC Filter Insertion
IR-ANPUL,IR Angio Pulmonary
IR-ANRENB,IR Angio Renal BILAT
IR-ANREN,IR Angio Abdomen
IR-ANRENIN,IR Sampling Renal Renin
IR-ANSPL,IR Angio Abdomen
IR-ANSPLPO,IR Angio Abdomen
IR-ANSUB,IR Angio Subclavian
IR-ANSMES,IR Angio Superior Mesenteric
IR-ANSVC,IR Venogram SVC
IR-ANVERB,IR Angio Carotid BILAT
IR-ANVER,IR Angio Neck
IR-ANVIS,IR Angio Abdomen
IR-ANTPA,IR Angio Arterial / Venous Thrombolysis
IR-AP,IR Angioplasty
IR-APFISL,IR Venous Fistulogram LT
IR-APFISR,IR Venous Fistulogram RT
IR-APBRA,IR Angio Upper Extremity
IR-APDIA,IR Sinogram or Fistulogram
IR-APFEM,IR Angio Femoral UNI
IR-APILI,IR Angio Pelvis
IR-APREN,IR Angio Abdomen
IR-APRENAS,IR Angio Arterial Stent
IR-APSTI,IR Arterial Stent
IR-APSTI2,IR Arterial Stent
IR-ARTANK,IR Arthrogram Ankle
IR-ARTELB,IR Arthrogram Elbow
IR-ARTHIP,IR Arthrogram Hip
IR-ARTKNE,IR Arthrogram Knee
IR-ARTSHO,IR Arthrogram Shoulder
IR-ARTWRI,IR Arthrogram Wrist
IR-ASP,IR Aspiration
IR-ASPABD,IR Aspiration Abdomen
IR-ASPCXR,IR Aspiration Chest
IR-AVFISEM,IR Angio AV Fist / Graft Thrombolysis
IR-AVFISB,IR Sinogram or Fistulogram
IR-AVFISL,IR Venous Fistulogram LT
IR-AVFISR,IR Venous Fistulogram RT
IR-BILCC,IR Biliary Tube Change
IR-BILCI,IR Biliary Tube Change
IR-BILCIU,IR Biliary Tube Change
IR-BILSE,IR Biliary Stone Removal
IR-BILTC,IR Cholangiogram
IR-BILTT,IR Biliary Tube Check
IR-BXBON,IR Biopsy Bone
IR-BXLIVU,IR BIOPSY ABDOMEN
IR-BXLUN,IR Biopsy Chest
IR-BXLIV,IR Angio Transjugular Liver Biopsy
IR-BXFL,IR Biopsy under Fluoro
IR-BRONR,IR Tracheogram
IR-CXRTI,IR Chest Tube Insertion
IR-CYSTO,IR Cystogram
IR-DAC,IR Dacrocystogram
IR-DISCO,IR Discography
IR-DISCO2,IR Discography
IR-DISCO3,IR Discography
IR-DRAINA,IR Perc Abscess or fluid Drainage
IR-DRAINAPE,IR Perc Abscess or fluid Drainage
IR-DRAINASP,IR Perc Abscess or fluid Drainage
IR-DRAINAUS,IR Perc Abscess or fluid Drainage
IR-DRAINAB,IR Perc Abscess or fluid Drainage
IR-DRAINC,IR Perc Abscess or fluid Drainage
IR-DRAINCUS,IR Perc Abscess or fluid Drainage
IR-EMBVAR,IR Embo Uterine or Varicocele BILAT
IR-EMB,IR Angio Embolization
IR-EMBA,IR Angio Embolization
IR-EPIBLS,IR Block Epidural Lumbar
IR-FACCS,IR Block Cervical Root/Facet Multi
IR-FACCSM,IR Block Cervical Root/Facet Multi
IR-FACLS,IR Block Lumbar Root/Facet Multi
IR-FACLSM,IR Block Lumbar Root/Facet Multi
IR-FACRFN,IR Facet Radiofreq Neurectomy
IR-FACTS,IR Block Thoracic Root/Facet Multi
IR-FACTSM,IR Block Thoracic Root/Facet Multi
IR-FALTR,IR Fallopian Tube Recanalization BILAT
IR-FORBR,IR Foreign Body Retrieval
IR-FORBRIV,IR Foreign Body Retrieval
IR-GASJETI,IR Perc Gastrojejunostomy
IR-GASTI,IR Perc Gastrostomy
IR-GASTC,IR Gastrostomy Tube Change
IR-GIOESDIL,IR Esophageal Dilatation
IR-GIOESSTP,IR Esophageal Stent
IR-GIBD,IR Colorectal Dilatation
IR-HEMOCI,IR Venous Permacath Insertion
IR-INC,IR Attempted Exam
IR-IE,IR Attempted Exam
IR-INJLEX,IR Injection Lower Extremity
IR-INJSP,IR Injection Spine
IR-INJTX,IR Joint Injection/Aspiration
IR-INJUEX,IR Injection Upper Extremity
IR-JEJTI,IR Jejunostomy Tube Change
IR-JOI,IR Joint Injection/Aspiration
IR-JOINR,IR Joint Injection/Aspiration
IR-JOI2,IR Joint Injection/Aspiration
IR-LINE,IR Venous Linogram
IR-LOO,RF Loopogram Pouchogram
IR-LP,RF Lumbar Puncture
IRC-LP,RF Lumbar Puncture
IR-MBBCS,IR Block Cervical Root/Facet Multi
IR-MBBCSM,IR Block Cervical Root/Facet Multi
IR-MBBLS,IR Block Lumbar Root/Facet Multi
IR-MBBLSM,IR Block Lumbar Root/Facet Multi
IR-MYELO,IR Myelogram
IR-NASTI,RF Tube Insertion Nasogastric
IR-NERV,IR Peripheral Nerve Block Injection
IR-NERV2,IR Peripheral Nerve Block Injection
IR-PDI,IR Tube Manip Peritoneal Catheter
IR-PDM,IR Tube Manip Peritoneal Catheter
IR-PDR,IR Tube Manip Peritoneal Catheter
IR-PICC,IR Venous PICC Insertion
IR-PLETI,IR Perc Chest Tube Insert Permanent
IR-PLETR,IR Chest Tube Change
IR-PULLPYE,IR Nephrostogram and Tube Removal
IR-RFA,IR Miscellaneous Ablation RFA
IR-RADFL,IR Fluoro Only Radiologist
IR-RENCC,IR Urethral Catheter Change
IR-RENCC2,IR Urethral Catheter Change
IR-RENCCH,IR Urethral Catheter Change
IR-RENCIU,IR Urethral Catheterization + Fluoro
IR-RENCI,IR Urethral Catheterization + Fluoro
IR-RENCI2,IR Urethral Catheterization + Fluoro
IR-RENI,IR Urethral Catheterization + Fluoro
IR-SALPIG,RF Hysterosalpingogram
IR-SIAL,RF Sialogram
IR-SINO,IR Sinogram or Fistulogram
IR-STEAI,IR Arterial Stent
IR-STEBI,IR Biliary Stent
IR-STEUI,IR Ureter Int / Ext Stent Change BILAT
IR-STEUI2,IR Ureter Int / Ext Stent Change BILAT
IR-STEVI,IR Angio Venous Stent
IR-SPCI,IR Supra Pubic Catheter Change / Removal
IR-TUBC,IR Tube Check
IR-TUBCH,IR Tube Check
IR-TUBR,IR Tube Check
IR-URE,IR Urethrogram
IR-USA,US in addn to Angio
IR-VENAB,IR Venogram Arms BILAT
IR-VENAL,IR Venogram Arm LT
IR-VENAR,IR Venogram Arm RT
IR-VENLB,IR Venogram Leg BILAT
IR-VENLL,IR Venogram Leg LT
IR-VENLR,IR Venogram Leg RT
IR-VENSP,IR Venogram Spermatic
IR-VCU,RF Cystogram Voiding
IR-VCUPED,RF Cystogram Voiding
MAM-BRLB,MG Fine Wire Localization BILAT
MAM-BRLL,MG Fine Wire Localization LT
MAM-BRLL2,MG Fine Wire Localization LT
MAM-BRLL3,MG Fine Wire Localization LT
MAM-BRLR,MG Fine Wire Localization RT
MAM-BRLR2,MG Fine Wire Localization RT
MAM-BRLR3,MG Fine Wire Localization RT
MAM-BRS,MG Breast Specimen
MAM-BRSPB,MG Breast Specimen
MAM-BRSPBNR,MG Breast Specimen
MAM-BXSB,MG Stereo Core Biopsy Single Site BILAT
MAM-BXSL,MG Stereo Core Biopsy Multiple Sites LT
MAM-BXSL6,MG Stereo Core Biopsy Multiple Sites LT
MAM-BXSR,MG Stereo Core Biopsy Multiple Sites RT
MAM-BXSR6,MG Stereo Core Biopsy Multiple Sites RT
MAM-FP,MG Imported Digital Study
MAM-GALL,MG Galactogram LT
MAM-GALR,MG Galactogram RT
MAM-IE,MG Partially Completed Exam
MAM-INC,MG Partially Completed Exam
MAM-MAMB,MG Mammogram Diagnostic BILAT
MAM-MAMBI,MG Mammogram Diagnostic BILAT
MAM-MAMBS,MG Mammogram Diagnostic BILAT
MAM-MAML,MG Mammogram Diagnostic LT
MAM-MAMLI,MG Mammogram Diagnostic LT
MAM-MAMLS,MG Mammogram Diagnostic LT
MAM-MAMR,MG Mammogram Diagnostic RT
MAM-MAMRI,MG Mammogram Diagnostic RT
MAM-MAMRS,MG Mammogram Diagnostic RT
MAM-MAMUPPL,MG Mammogram Diagnostic LT
MAM-MAMUPPR,MG Mammogram Diagnostic RT
MAMC-MAMB,MG Mammogram Diagnostic BILAT
MAMC-MAML,MG Mammogram Diagnostic LT
MAMC-MAMR,MG Mammogram Diagnostic RT
MAMCS-MAMB,MG Mammogram Diagnostic BILAT
MORG-MABD,XR Abdomen Single View
MORG-MCS,XR Spine Cervical
MORG-MCXR,XR Chest
MORG-MLEXL,XR Extremity Lower LT
MORG-MLEXR,XR Extremity Lower RT
MORG-MLS,XR Spine Lumbar
MORG-MMAN,XR Mandible
MORG-MPBODY,XR Pediatric Whole Body
MORG-MPEL,XR Pelvis
MORG-MSKU,XR Skull
MORG-MTS,XR Spine Thoracic
MORG-MUEXL,XR Extremity Upper LT
MORG-MUEXR,XR Extremity Upper RT
MRI-ABD,MR Abdomen w/o Contrast
MRI-ABDB,MR Abdomen w/o Contrast
MRI-ABDBC,MR Abdomen with Contrast
MRI-ABDC,MR Abdomen with Contrast
MRI-ABDK,MR Abdomen w/o Contrast
MRI-ABDKBC,MR Abdomen with Contrast
MRI-ABDKC,MR Abdomen with Contrast
MRI-ABDL,MR Abdomen w/o Contrast
MRI-ABDLBC,MR Abdomen with Contrast
MRI-ABDLC,MR Abdomen with Contrast
MRI-ABDP,MR Abdomen and Pelvis w/o Contrast
MRI-ABDPA,MR Abdomen w/o Contrast
MRI-ABDPABC,MR Abdomen with Contrast
MRI-ABDPAC,MR Abdomen with Contrast
MRI-ABDPB,MR Abdomen and Pelvis w/o Contrast
MRI-ABDPBC,MR Abdomen and Pelvis with Contrast
MRI-ABDPC,MR Abdomen and Pelvis with Contrast
MRI-ABDSB,MR Abdomen w/o Contrast
MRI-ABDSBB,MR Abdomen w/o Contrast
MRI-ABDSBBC,MR Abdomen with Contrast
MRI-ABDSBC,MR Abdomen with Contrast
MRI-ABMRCP,MR MRCP w/o Contrast
MRI-ABMRCPB,MR MRCP w/o Contrast
MRI-ABMRCPBC,MR MRCP with Contrast
MRI-ABMRCPC,MR MRCP with Contrast
MRI-ANABDC,MR Angio Abdomen with Contrast
MRI-ANABDRC,MR Runoff with Contrast
MRI-ANEXTC,MR Angio Extremity with Contrast
MRI-ANHEAC,MR Angio Head with Contrast
MRI-ANKL,MR Ankle w/o Contrast LT
MRI-ANKLC,MR Ankle with Contrast LT
MRI-ANKR,MR Ankle w/o Contrast RT
MRI-ANKRC,MR Ankle with Contrast RT
MRI-ANNECC,MR Angio Carotid with Contrast
MRI-ANTHOC,MR Angio Chest with Contrast
MRI-ARML,MR Ext Upper w/o Contrast LT
MRI-ARMLC,MR Ext Upper with Contrast LT
MRI-ARMR,MR Ext Upper w/o Contrast RT
MRI-ARMRC,MR Ext Upper with Contrast RT
MRI-ARTHIPL,MR Hip w/o Contrast LT
MRI-ARTHIPR,MR Hip w/o Contrast RT
MRI-ARTSHOL,MR Shoulder w/o Contrast LT
MRI-ARTSHOR,MR Shoulder w/o Contrast RT
MRI-ARTWRIL,MR Wrist w/o Contrast LT
MRI-ARTWRIR,MR Wrist w/o Contrast RT
MRI-BRE,MR Breast w/o Contrast BILAT
MRI-BREC,MR Breast with Contrast BILAT
MRI-BRP,MR Brachial Plexus w/o Contrast BILAT
MRI-BRPC,MR Brachial Plexus with Contrast BILAT
MRI-BXBRB,MR Biopsy Breast BILAT
MRI-BXBRL,MR Biopsy Breast LT
MRI-BXBRR,MR Biopsy Breast RT
MRIC-CAR,MR Cardiac w/o Contrast
MRIC-CARC,MR Cardiac with Contrast
MRI-CLS,MR Spine 2 Areas w/o Contrast
MRI-CLSC,MR Spine 2 Areas with Contrast
MRI-CS,MR Spine Cervical w/o Contrast
MRI-CSBP,MR Brachial Plexus w/o Contrast BILAT
MRI-CSBPC,MR Brachial Plexus with Contrast BILAT
MRI-CSC,MR Spine Cervical with Contrast
MRI-CSFE,MR Spine Cervical w/o Contrast
MRI-CSTR,MR Spine Cervical w/o Contrast
MRI-CTLS,MR Spine 3 Areas w/o Contrast
MRI-CTLSC,MR Spine 3 Areas with Contrast
MRI-CTS,MR Spine 2 Areas w/o Contrast
